id,dedup_count,trim_count
101,1592170,1592170
103LC,1124237,1124236
105,1089948,1089948
105LC,1269379,1269379
107LC,1309196,1309195
109,1368836,1368835
109LC,1251288,1251287
111LC,1374662,1374662
113,1733763,1733763
116,865366,865366
117LC,1071807,1071807
120LC,275871,275871
120RE,898922,898922
122LC-conc,1502609,1502607
123,1167020,1167020
125LC,823042,823041
128LC,1458152,1458152
130,1773160,1773160
131,1094442,1094442
131LC,1506574,1506574
134LC,680389,680389
136LC,1420323,1420323
138LC,1247079,1247079
139LC,919132,919132
141,1267647,1267646
143LC,1116103,1116103
146LC,1316801,1316801
147LC,1401862,1401861
149LC,927671,927671
151LC,1329483,1329483
153LC,1392314,1392314
201RE,447440,447440
204LC,1603386,1603385
206LC,1147140,1147138
401,1558693,1558690
801RE,1432986,1432983
802,2440940,2440935
803RE,1079880,1079877
804,1533478,1533474
805,1953243,1953237
806,2148131,2148131
806replicate,1707412,1707412
807RE,1523870,1523869
808,903962,903962
810,2881390,2881390
811,2439641,2439640
812RE,1305594,1305594
813RE,656088,656088
814,2217312,2217312
815RE,837561,837561
816,1051136,1051136
817RE,1806779,1806779
818RE,907624,907624
819,962197,962197
820,562885,562885
822RE,1845209,1845209
823RE,1405309,1405308
824,721212,721211
825RE,1167334,1167333
826RE,940497,940497
827,1030281,1030281
828RE,673826,673826
829,1307455,1307455
830,542658,542658
831,2294101,2294097
832,522940,522937
834RE,1622674,1622669
835,1189312,1189310
836,1621454,1621450
837,2165582,2165573
838,2578005,2578001
839,318314,318312
840,669308,669308
841,668527,668527
842,453337,453337
843RE1,1045358,1045358
844RE1,1459230,1459228
845,896174,896174
846,594221,594221
847RE1,1308651,1308651
848,540079,540079
849RE,741008,741008
851,1456479,1456479
852,1451775,1451775
853,2349159,2349158
854,1154272,1154272
855,1579615,1579615
856,1880698,1880698
857,1089606,1089606
858,597144,597144
859RE,896109,896109
860,1747240,1747240
861,1304105,1304105
862RE,1824268,1824268
863,1879839,1879839
933,527588,527588
934,633794,633794
935,1813925,1813923
935replicate,1598692,1598692
936,1185224,1185224
937,756315,756315
938,893288,893288
939,1542311,1542308
940,2052678,2052677
941,2174400,2174400
942RE,1295189,1295189
943,4196098,4196098
F01LC,1388650,1388649
F02LC,1071907,1071907
F03LC,2339539,2339538
F04LC,1018801,1018800
F05LC,1457476,1457474
F07LC,1160191,1160191
F09LC,1345995,1345995
IN001,517872,517872
IN002,464356,464356
IN003,392493,392492
ucin001,903932,903932
ucin002,928736,928736
ucin003,788814,788814
ucin004conc,2005619,2005618
ucin005,1966747,1966747
ucin006conc,1905602,1905602
ucin007,1863770,1863770
ucin008,2098646,2098645
ucin009z,1481307,1481306
